ProductID,ProductName,ProductBrand,Gender,Price,NumImages,PrimaryColor,Description
101,Classic Navy Blazer,Raymond,Men,5499,5,Navy,"Professional wool-blend jacket with notched lapels and a structured fit for office meetings."
102,Summer Breeze Maxi,Dressberry,Women,2200,4,Yellow,"Lightweight flowy yellow dress with a vibrant floral print and spaghetti straps for beach outings."
103,Dry-Fit Running Shorts,Nike,Men,1800,3,Black,"Moisture-wicking athletic shorts with reflective strips and breathable mesh panels for high-intensity workouts."
104,Leather Chelsea Boots,Red Tape,Men,4200,4,Tan,"Sophisticated slip-on tan leather boots with elastic side panels and a pull-tab at the back."
105,Cozy Cable Knit Sweater,H&M,Women,1599,3,Cream,"Thick ivory jumper with an intricate cable-knit pattern and a relaxed turtleneck for winter warmth."
106,Distressed Denim Jacket,Levis,Unisex,3500,5,Blue,"Rugged vintage-style blue denim trucker jacket with metal buttons and a faded wash finish."
107,Bohemian Embroidered Top,Aurelia,Women,1299,2,White,"White cotton tunic featuring traditional ethnic embroidery and bell sleeves for a fusion look."
108,Waterproof Trekking Pants,Wildcraft,Unisex,2800,4,Grey,"Durable ripstop trousers with multiple pockets and water-repellent coating for mountain hiking."
109,Silk Evening Gown,Label Ritu Kumar,Women,12000,6,Emerald,"Luxurious emerald green floor-length silk dress with gold zari work for weddings and galas."
110,Graphic Streetwear Hoodie,Puma,Unisex,2499,3,Red,"Bold red fleece hooded sweatshirt with a distributed geometric print and a kangaroo pocket."
111,Breathable Linen Trousers,Marks & Spencer,Men,3299,4,Beige,"Natural linen-blend pants with a straight cut and drawstring waist for tropical climates."
112,Ankle-Length Leggings,Go Colors,Women,799,2,Pink,"High-stretch cotton-lycra leggings in a vibrant fuchsia shade for daily comfort."
113,Smart Fit Polo Shirt,US Polo Assn,Men,1499,4,Green,"Solid pique knit cotton polo with a ribbed collar and signature logo embroidery."
114,Quilted Puffer Jacket,Columbia,Men,8500,5,Black,"Insulated heavy-duty winter coat with heat-seal technology and a detachable hood."
115,Canvas Slip-on Sneakers,Vans,Unisex,2200,3,Checkered,"Classic black and white checkered canvas shoes with a vulcanized rubber sole."
116,Polka Dot Sundress,ZARA,Women,2800,4,Red,"Retro-style red dress with white polka dots and a cinched waistline for brunch dates."
117,Tapered Chino Pants,Allen Solly,Men,1999,4,Khaki,"Work-ready cotton chinos with a slight stretch and button-through welt pockets."
118,Oversized Flannel Shirt,Roadster,Unisex,1199,3,Green,"Soft brushed cotton plaid shirt in forest green with a loose boyfriend fit."
119,Sequin Party Top,Only,Women,1899,4,Silver,"Shimmery silver sleeveless top covered in micro-sequins for clubbing and night outs."
120,Performance Yoga Mat,Reebok,Unisex,1500,2,Purple,"Anti-slip cushioned mat with alignment marks for pilates and stretching exercises."
121,Formal Oxford Shoes,Clarks,Men,5500,5,Black,"Traditional handcrafted leather lace-ups with a polished finish and cushioned footbed."
122,Wrap Style Maternity Dress,Mothercare,Women,2500,3,Blue,"Adjustable jersey wrap dress with a V-neckline designed for comfort during pregnancy."
123,Corduroy Trucker Cap,Adidas,Unisex,999,2,Brown,"Adjustable structured cap with a corduroy finish and a curved brim for casual wear."
124,Velvet Palazzo Pants,Biba,Women,1600,3,Maroon,"Plush maroon velvet wide-leg trousers with an elasticated waistband for festive occasions."
125,Lightweight Windbreaker,Decathlon,Unisex,1299,4,Neon,"Compact packable jacket with wind-resistant fabric and a high neck for cycling."
126,Aviator Sunglasses,Ray-Ban,Unisex,8500,3,Gold,"Classic gold-rimmed shades with polarized green lenses and UV protection."
